LoneWorker;Squelch;Autoscan;Bandwidth;ChannelMode;Colorcode;RepeaterSlot;RxOnly;AllowTalkaround;DataCallConf;PrivateCallConf;Privacy;PrivacyNo;DisplayPttId;CompressedUdpHdr;EmergencyAlarmAck;RxRefFrequency;AdmintCriteria;Power;Vox;QtReverse;ReverseBurst;TxRefFrequency;ContactName;Tot;TotRekeyDelay;EmergencySystem;ScanList;GroupList;Decode18;RxFrequency;TxFrequency;CtcssDcsDecode;CtcssDcsEncode;TxSignalingSyst;RxSignalingSyst;Name
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43340000;43340000;none;none;0;0;"433.400A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43342500;43342500;none;none;0;0;"433.425A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43345000;43345000;none;none;0;0;"433.450A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43347500;43347500;none;none;0;0;"433.475A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43350000;43350000;none;none;0;0;"433.500A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43352500;43352500;none;none;0;0;"433.525A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43355000;43355000;none;none;0;0;"433.550A ISO"
off;normal;off;"25.0";analog;1;slot1;off;on;off;off;none;0;off;on;off;medium;always;low;off;180;on;medium;none;12;0;0;Analog;none;off;43357500;43357500;none;none;0;0;"433.575A ISO"
off;normal;off;"12.5";digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;"Zona 2";Italia;off;43136250;43586250;none;none;0;0;"IR2UBG-Italia"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;"Zona 2";"Local or Reflect";off;43136250;43586250;none;none;0;0;"IR2UBG-Local "
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;262997;12;0;0;"Zona 2";"TG 262997";off;43136250;43586250;none;none;0;0;"IR2UBG-TG 262997"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22201;12;0;0;"Zona 2";Lazio;off;43136250;43586250;none;none;0;0;"IR2UBG-Lazio"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22212;12;0;0;"Zona 2";Piemonte;off;43136250;43586250;none;none;0;0;"IR2UBG-Piemon"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22221;12;0;0;"Zona 2";Lombardia;off;43136250;43586250;none;none;0;0;"IR2UBG-Lombar"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22231;12;0;0;"Zona 2";"Friuli Venezia G";off;43136250;43586250;none;none;0;0;"IR2UBG-Friuli"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22232;12;0;0;"Zona 2";"Trentino Alto Ad";off;43136250;43586250;none;none;0;0;"IR2UBG-Trenti"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22233;12;0;0;"Zona 2";Veneto;off;43136250;43586250;none;none;0;0;"IR2UBG-Veneto"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22241;12;0;0;"Zona 2";"Emilia Romagna";off;43136250;43586250;none;none;0;0;"IR2UBG-Emilia"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22251;12;0;0;"Zona 2";Toscana;off;43136250;43586250;none;none;0;0;"IR2UBG-Toscan"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22261;12;0;0;"Zona 2";Abruzzo;off;43136250;43586250;none;none;0;0;"IR2UBG-Abruzz"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22271;12;0;0;"Zona 2";Puglia;off;43136250;43586250;none;none;0;0;"IR2UBG-Puglia"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222001;12;0;0;"Zona 2";"TAC1-ITA";off;43136250;43586250;none;none;0;0;"IR2UBG-TAC1-I"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;"Zona 2";"TAC2-ITA";off;43136250;43586250;none;none;0;0;"IR2UBG-TAC2-I"
off;normal;off;"12.5";digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;91;12;0;0;"Zona 2";"World-wide";off;43136250;43586250;none;none;0;0;"IR2UBG-World-"
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 9;Italia;off;43096250;43596250;none;none;0;0;I-RU2-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 9;Local or Reflect;off;43096250;43596250;none;none;0;0;I-RU2-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 9;Liguria;off;43096250;43596250;none;none;0;0;I-RU2-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 9;TAC2-ITA;off;43096250;43596250;none;none;0;0;I-RU2-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 9;Italia;off;43093750;43593750;none;none;0;0;I0KMJ-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 9;Local or Reflect;off;43093750;43593750;none;none;0;0;I0KMJ-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 9;Liguria;off;43093750;43593750;none;none;0;0;I0KMJ-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 9;TAC2-ITA;off;43093750;43593750;none;none;0;0;I0KMJ-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 9;Italia;off;43078750;43578750;none;none;0;0;I0NLV-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 9;Local or Reflect;off;43078750;43578750;none;none;0;0;I0NLV-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 9;Liguria;off;43078750;43578750;none;none;0;0;I0NLV-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 9;TAC2-ITA;off;43078750;43578750;none;none;0;0;I0NLV-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 1;Italia;off;43032500;43532500;none;none;0;0;IK1VDI-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 1;Local or Reflect;off;43032500;43532500;none;none;0;0;IK1VDI-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 1;Liguria;off;43032500;43532500;none;none;0;0;IK1VDI-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 1;TAC2-ITA;off;43032500;43532500;none;none;0;0;IK1VDI-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 1;Italia;off;43092500;43592500;none;none;0;0;IK1WHN-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 1;Local or Reflect;off;43092500;43592500;none;none;0;0;IK1WHN-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 1;Liguria;off;43092500;43592500;none;none;0;0;IK1WHN-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 1;TAC2-ITA;off;43092500;43592500;none;none;0;0;IK1WHN-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 3;Italia;off;43096250;43596250;none;none;0;0;IK3DNV-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 3;Local or Reflect;off;43096250;43596250;none;none;0;0;IK3DNV-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 3;Liguria;off;43096250;43596250;none;none;0;0;IK3DNV-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 3;TAC2-ITA;off;43096250;43596250;none;none;0;0;IK3DNV-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 5;Italia;off;43057500;43557500;none;none;0;0;IK5BNG-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 5;Local or Reflect;off;43057500;43557500;none;none;0;0;IK5BNG-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 5;Liguria;off;43057500;43557500;none;none;0;0;IK5BNG-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 5;TAC2-ITA;off;43057500;43557500;none;none;0;0;IK5BNG-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 5;Italia;off;43006250;43166250;none;none;0;0;IK5WJG-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 5;Local or Reflect;off;43006250;43166250;none;none;0;0;IK5WJG-Local 
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;22211;12;0;0;Zona 5;Liguria;off;43006250;43166250;none;none;0;0;IK5WJG-Liguri
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222002;12;0;0;Zona 5;TAC2-ITA;off;43006250;43166250;none;none;0;0;IK5WJG-TAC2-I
off;normal;off;12.5;digital;1;slot1;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;222;12;0;0;Zona 5;Italia;off;43060000;43560000;none;none;0;0;IK5XMK-Italia
off;normal;off;12.5;digital;1;slot2;off;on;off;off;none;0;off;on;off;medium;colorCode;low;off;180;on;medium;9;12;0;0;Zona 5;Local or Reflect;off;43060000;43560000;none;none;0;0;IK5XMK-Local 
