Name;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16
Analog;"433.400A ISO";"433.425A ISO";"433.450A ISO";"433.475A ISO";"433.500A ISO";"433.525A ISO";"433.550A ISO";"433.575A ISO";;;;;;;;
IR2UBG;"IR2UBG-Italia";"IR2UBG-Local ";"IR2UBG-TG 262997";"IR2UBG-Lazio";"IR2UBG-Piemon";"IR2UBG-Lombar";"IR2UBG-Friuli";"IR2UBG-Trenti";"IR2UBG-Veneto";"IR2UBG-Emilia";"IR2UBG-Toscan";"IR2UBG-Abruzz";"IR2UBG-Puglia";"IR2UBG-TAC1-I";"IR2UBG-TAC2-I";"IR2UBG-World-"
I-RU2;I-RU2-Italia;I-RU2-Local ;I-RU2-Liguri;I-RU2-TAC2-I;;;;;;;;;;;;
I0KMJ;I0KMJ-Italia;I0KMJ-Local ;I0KMJ-Liguri;I0KMJ-TAC2-I;;;;;;;;;;;;
I0NLV;I0NLV-Italia;I0NLV-Local ;I0NLV-Liguri;I0NLV-TAC2-I;;;;;;;;;;;;
IK1VDI;IK1VDI-Italia;IK1VDI-Local ;IK1VDI-Liguri;IK1VDI-TAC2-I;;;;;;;;;;;;
IK1WHN;IK1WHN-Italia;IK1WHN-Local ;IK1WHN-Liguri;IK1WHN-TAC2-I;;;;;;;;;;;;
IK3DNV;IK3DNV-Italia;IK3DNV-Local ;IK3DNV-Liguri;IK3DNV-TAC2-I;;;;;;;;;;;;
IK5BNG;IK5BNG-Italia;IK5BNG-Local ;IK5BNG-Liguri;IK5BNG-TAC2-I;;;;;;;;;;;;
IK5WJG;IK5WJG-Italia;IK5WJG-Local ;IK5WJG-Liguri;IK5WJG-TAC2-I;;;;;;;;;;;;
